what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.notifications.feed,1.0.3.v20130107-0100,"org.eclipse.mylyn.commons.notifications.feed",1418939387235
started,bundle,org.eclipse.mylyn.commons.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.commons.ui",1418939387235
started,bundle,org.eclipse.mylyn.commons.workbench,3.8.3.v20130107-0100,"org.eclipse.mylyn.commons.workbench",1418939387236
started,bundle,org.eclipse.mylyn.context.core,3.8.3.v20130107-0100,"org.eclipse.mylyn.context.core",1418939387237
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.context.tasks.ui",1418939387238
started,bundle,org.eclipse.mylyn.gerrit.core,1.0.3.v20130107-0100,"org.eclipse.mylyn.gerrit.core",1418939387239
started,bundle,org.eclipse.mylyn.gerrit.ui,1.0.3.v20130107-0100,"org.eclipse.mylyn.gerrit.ui",1418939387241
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.monitor.ui",1418939387242
started,bundle,org.eclipse.mylyn.tasks.tests,3.8.3.v20130107-0100,"org.eclipse.mylyn.tasks.tests",1418939387243
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.tasks.ui",1418939387244
started,bundle,org.eclipse.mylyn.team.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.team.ui",1418939387245
started,bundle,org.eclipse.mylyn.trac.core,3.8.3.v20130107-0100,"org.eclipse.mylyn.trac.core",1418939387246
started,bundle,org.eclipse.mylyn.trac.ui,3.8.3.v20130107-0100,"org.eclipse.mylyn.trac.ui",1418939387247
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1418939387248
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1418939387248
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1418939387249
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1418939387250
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1418939387252
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1418939387253
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1418939387254
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1418939387255
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1418939387258
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1418939387258
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1418939387259
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1418939387260
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1418939387261
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1418939387262
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1418939387263
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1418939387264
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1418939387266
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1418939387268
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1418939387268
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1418939387269
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1418939387270
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1418939387270
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1418939387271
os,sysinfo,,,"win32",1418939387274
arch,sysinfo,,,"x86_64",1418939387274
ws,sysinfo,,,"win32",1418939387275
locale,sysinfo,,,"es_ES",1418939387275
processors,sysinfo,,,"4",1418939387275
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1418939387275
java.runtime.version,sysinfo,,,"1.7.0_11-b21",1418939387275
java.specification.name,sysinfo,,,"Java Platform API Specification",1418939387275
java.specification.vendor,sysinfo,,,"Oracle Corporation",1418939387275
java.specification.version,sysinfo,,,"1.7",1418939387275
java.vendor,sysinfo,,,"Oracle Corporation",1418939387275
java.version,sysinfo,,,"1.7.0_11",1418939387275
java.vm.info,sysinfo,,,"mixed mode",1418939387275
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1418939387275
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1418939387275
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1418939387275
java.vm.specification.version,sysinfo,,,"1.7",1418939387275
java.vm.vendor,sysinfo,,,"Oracle Corporation",1418939387275
java.vm.version,sysinfo,,,"23.6-b04",1418939387275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418939389791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418939441975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1418939441987
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1418939441987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418939445374
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418939461115
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1418939461229
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1418939461427
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1418939461431
started,bundle,org.eclipse.mylyn.builds.core,1.0.3.v20130107-0100,"org.eclipse.mylyn.builds.core",1418939461464
stopped,bundle,org.eclipse.mylyn.gerrit.ui,1.0.3.v20130107-0100,"org.eclipse.mylyn.gerrit.ui",1418939461683
stopped,bundle,org.eclipse.mylyn.gerrit.core,1.0.3.v20130107-0100,"org.eclipse.mylyn.gerrit.core",1418939461683
stopped,bundle,org.eclipse.mylyn.hudson.ui,1.0.3.v20130107-0100,"org.eclipse.mylyn.hudson.ui",1418939461684
stopped,bundle,org.eclipse.mylyn.hudson.core,1.0.3.v20130107-0100,"org.eclipse.mylyn.hudson.core",1418939461685
stopped,bundle,com.atlassian.connector.eclipse.jira.ui,3.0.7.v20121218,"com.atlassian.connector.eclipse.jira.ui",1418939461685
stopped,bundle,com.atlassian.connector.eclipse.jira.core,3.0.7.v20121218,"com.atlassian.connector.eclipse.jira.core",1418939461690
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1418939461691
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1418939461691
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1418939461692
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1418939461693
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1418939461695
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1418939461696
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1418939461696
